Isoform,Gene ID,Gene name,TPM (median),TPM (Q1),TPM (Q3)
0c972351-5bf5-4c44-9bc5-2e2d8746da76,ENSG00000001626,CFTR,5,8,5,7,6,5
b92e89ca-b4a4-492b-93fa-86932f243f6d,ENSG00000255112,CHMP1B,25,5,18,7,35,6
ENST00000263856.9,ENSG00000115561,CHMP3,8,6,6,6,11,5
ENST00000409225.2,ENSG00000115561,CHMP3,15,5,11,9,18,2
ENST00000222792.11,ENSG00000106069,CHN2,29,8,18,3,36,8
80b35b82-7559-4170-aff3-ff6babb6c7dc,ENSG00000099622,CIRBP,13,3,9,7,23,1
ENST00000320936.9,ENSG00000099622,CIRBP,16,5,11,8,27,7
ENST00000586636.5,ENSG00000099622,CIRBP,7,5,5,8,13,9
f0483640-edb8-43b8-8145-3428a4cc4124,ENSG00000099622,CIRBP,13,3,9,5,14,1
a18d7a73-d16c-4ebb-b067-354f397d17c8,ENSG00000074054,CLASP1,6,6,6,2,8,0
ENST00000299339.3,ENSG00000134873,CLDN10,13,3,11,7,15,5
ENST00000304361.9,ENSG00000172322,CLEC12A,6,1,6,1,7,1
e8ff8d84-623a-4a36-b728-1912cf20ee46,ENSG00000130779,CLIP1,26,2,17,1,30,5
73036845-4f83-4c46-b101-92e3deb8ca92,ENSG00000125246,CLYBL,10,7,7,4,18,6
ENST00000339105.9,ENSG00000125246,CLYBL,37,6,29,9,52,2
f8aeeed0-c651-4ec3-b7a1-130d27cb083a,ENSG00000143786,CNIH3,6,1,6,0,6,2
ENST00000328834.10,ENSG00000182973,CNOT10,14,2,6,5,17,9
ENST00000378980.8,ENSG00000122756,CNTFR,16,0,8,6,19,9
4edec9e2-ca77-443b-a50c-19b3efead238,ENSG00000144619,CNTN4,13,9,10,7,16,2
7906f22a-2500-487d-a44c-e0c5f9a462df,ENSG00000182871,COL18A1,24,9,12,7,30,2
7b59a193-bb4a-4c9a-afb0-b83ff63f0dfb,ENSG00000182871,COL18A1,8,3,5,8,11,8
a001dc85-6996-4a42-9bfc-e97df3128605,ENSG00000182871,COL18A1,350,1,297,2,462,9
a078f3f1-8eba-44ac-b10b-46b22811123a,ENSG00000182871,COL18A1,24,7,13,9,30,1
c44501aa-c30d-4f96-843f-bf7a15bee747,ENSG00000182871,COL18A1,53,7,42,9,55,9
7ce92b8a-7ce6-4233-ac7f-bff52f26d5f5,ENSG00000130635,COL5A1,6,0,5,8,11,8
12bba640-1670-4387-be56-bf887a91704b,ENSG00000102879,CORO1A,6,7,5,8,10,6
